"","date","tweet_count"
"1041",2020-11-13,153000
"1042",2020-11-14,132000
"1043",2020-11-15,203000
"1044",2020-11-16,60000
"1045",2020-11-17,134000
"1046",2020-11-18,2e+05
"1047",2020-11-19,122000
"1048",2020-11-20,150000
"1049",2020-11-21,143000
"1050",2020-11-22,129000
"1051",2020-11-23,190000
"1052",2020-11-24,121000
"1053",2020-11-25,126000
"1054",2020-11-26,119000
"1055",2020-11-27,70000
"1056",2020-11-28,116000
"1057",2020-11-29,120000
"1058",2020-11-30,125000
"1059",2020-12-01,179000
"1060",2020-12-02,156000
"1061",2020-12-03,482000
"1062",2020-12-04,70000
"1063",2020-12-05,59000
"1064",2020-12-06,43000
"1065",2020-12-07,62000
"1066",2020-12-08,95000
"1067",2020-12-09,86000
